1; Anka; Kostolzin; Vertrieb; 7
2; Hans-Hinrich; Schmiedt; HR; 4
3; Ewald; Kusch; Entwicklung; 1
4; John; Weinhage; HR; 3
5; Birgitta; Tröst; Produktion; 4
6; Janusz; Krein; Produktion; 2
7; Guiseppe; Trupp; Consulting; 7
8; Sergei; Trüb; Buchhaltung; 4
9; Arne; Löffler; Produktion; 3
10; Adrian; Gutknecht; Vertrieb; 5
11; Rosita; Hermann; Buchhaltung; 7
12; Karl-Ernst; Henk; Consulting; 4
13; Jolanda; Salz; Buchhaltung; 4
14; Brit; Segebahn; HR; 4
15; Hansgeorg; Niemeier; Produktion; 7
16; Sylke; Gierschner; Produktion; 3
17; Annemarie; Lachmann; HR; 1
18; Egbert; Trommler; Produktion; 2
19; Folkert; Seip; Vertrieb; 5
20; Edgar; Ziegert; Produktion; 7
21; Marija; Ehlert; Entwicklung; 1
22; Mikhail; Schaaf; Vertrieb; 3
23; Gabriella; Davids; Vertrieb; 3
24; Katy; Dehmel; HR; 6
25; Marga; Hänel; Produktion; 3
26; Ronald; Boucsein; Vertrieb; 2
27; Pascale; Plath; Consulting; 3
28; Frank-Michael; Benthin; Consulting; 6
29; Willfried; Wulff; Produktion; 2
30; Gudula; Dörr; Consulting; 5
31; Urban; Kuhl; Vertrieb; 5
32; Centa; Jessel; Produktion; 3
33; Herbert; Mülichen; Consulting; 6
34; Kordula; Kade; Buchhaltung; 4
35; Ercan; Kitzmann; Buchhaltung; 4
36; Gaby; Ullrich; Entwicklung; 4
37; Gülay; Mitschke; Entwicklung; 1
38; Lothar; Röhrdanz; Vertrieb; 3
39; Sükrü; Wilmsen; Produktion; 3
40; Branko; Scholtz; Buchhaltung; 6
41; Anita; Beckmann; Vertrieb; 3
42; Mario; Girschner; HR; 3
43; Birgid; Textor; Consulting; 4
44; Melanie; Seifert; Vertrieb; 7
45; Gertraude; Hornich; Produktion; 6
46; Gilbert; Hendriks; HR; 3
47; Hermann Josef; Schwital; Produktion; 1
48; Betina; Rörricht; Entwicklung; 6
49; Minna; Weiß; Produktion; 5
50; Romy; Langern; Vertrieb; 3
51; Hans-Heinrich; Etzold; Entwicklung; 1
52; Jozef; Warmer; HR; 1
53; Annedore; Reising; Vertrieb; 6
54; Sibylla; Fritsch; Buchhaltung; 1
55; Alma; Schleich; Consulting; 2
56; Fatih; Schweitzer; Produktion; 4
57; Hanne-Lore; Bachmann; Produktion; 4
58; Manfred; Zimmer; Buchhaltung; 3
59; Dorothe; Lachmann; Produktion; 2
60; Cord; Weinhold; Vertrieb; 4
61; Ron; Schönland; HR; 3
62; Rena; Carsten; Produktion; 2
63; Damian; Ritter; Buchhaltung; 3
64; Helmar; Mitschke; Entwicklung; 1
65; Hans-H.; Weiß; Produktion; 1
66; Björn; Gute; Produktion; 4
67; Mechthild; Mühle; HR; 3
68; Dorota; Neureuther; HR; 3
69; Gülay; Briemer; Produktion; 2
70; Marco; Preiß; Buchhaltung; 2
71; Hartmuth; Hentschel; HR; 2
72; Hermann; Schmidtke; HR; 3
73; Günter; Ziegert; HR; 3
74; Benno; Müller; Buchhaltung; 6
75; Zlatko; Steckel; Produktion; 4
76; Maria-Luise; Geißler; HR; 8
77; Oscar; Rosenow; Vertrieb; 4
78; Lene; Tlustek; Buchhaltung; 3
79; Alessandro; Faust; Produktion; 4
