1;Taylor;Carol;w;6;12;Sopran
2;Tucker;Joshua;m;12;18;Bass
3;Pruitt;Anthony;m;10;16;Tenor
4;Nelson;Lisa;w;13;19;Alt
5;Klein;Joanna;m;7;12;Tenor
6;Scott;Christopher;m;13;19;Tenor
7;Summers;Susan;m;10;16;Tenor
8;Lambert;Samuel;m;13;18;Bass
9;Pope;Lisa;m;9;14;Tenor
10;Flynn;Renee;m;13;19;Tenor
11;Clark;Kevin;m;8;13;Bass
12;Murray;Keith;m;13;18;Tenor
13;Martinez;Jessica;m;6;11;Bass
14;Evans;Brandon;m;8;14;Tenor
15;Reynolds;Oscar;m;5;11;Tenor
16;Smith;Steven;w;11;17;Sopran
17;Arnold;Chad;w;9;15;Sopran
18;Anderson;Roger;w;8;13;Sopran
19;Ford;Michael;w;7;13;Alt
20;Floyd;Stephanie;m;11;16;Tenor
21;Duran;William;w;5;10;Sopran
22;Steele;Steven;m;9;15;Tenor
23;Carpenter;Bryan;m;7;13;Tenor
24;Holt;Scott;m;6;12;Bass
25;Ochoa;James;m;8;14;Bass
26;Matthews;Marcus;m;11;16;Tenor
27;Williams;John;m;10;15;Tenor
28;Wilson;Kurt;w;9;15;Alt
29;Martin;Danielle;m;11;16;Bass
30;Chang;Nicholas;m;10;16;Tenor
31;Ayala;Mark;m;11;16;Tenor
32;Adams;Charles;m;11;16;Tenor
33;Morrison;Rebecca;m;7;12;Tenor
34;Wyatt;Amy;m;11;16;Tenor
35;Cuevas;Heather;w;8;14;Sopran
36;Holden;Ashley;w;8;13;Alt
37;Henry;Kimberly;m;5;10;Bass
38;Brown;Jessica;w;8;14;Alt
39;Terry;Richard;w;10;15;Sopran
40;Lewis;Alyssa;m;7;13;Tenor
41;Chen;Geoffrey;w;7;12;Alt
42;Rice;Emily;m;7;13;Bass
43;Barajas;Michelle;m;13;18;Bass
44;Hebert;Steven;w;7;12;Sopran
45;Snyder;Kevin;m;12;17;Bass
46;Price;Sydney;w;5;10;Sopran
47;Bates;Devin;w;11;16;Sopran
48;Clark;Eric;m;6;12;Tenor
49;Clark;Dawn;w;9;14;Sopran
50;Davis;James;w;9;14;Sopran
51;Jackson;Vanessa;w;6;12;Alt
52;Hernandez;Travis;m;10;16;Bass
53;Phelps;Lauren;m;10;15;Tenor
54;Daniels;Ryan;m;10;15;Tenor
55;Williams;Richard;w;7;13;Alt
56;Bowen;Gloria;m;11;17;Tenor
57;Hernandez;Mary;w;8;13;Sopran
58;Scott;Danny;w;5;10;Alt
59;Sullivan;Tyler;w;12;18;Sopran
60;Johnson;Joshua;w;7;13;Sopran
61;Giles;Jeremiah;m;6;12;Tenor
62;Pena;David;m;13;18;Bass
63;Mclean;Donna;w;13;19;Sopran
64;Carney;Sandra;m;7;13;Bass
65;Daniel;Anthony;w;7;12;Alt
66;Jones;Victor;m;11;16;Bass
67;Saunders;Katherine;m;5;10;Bass
68;Ayala;Jennifer;w;6;12;Sopran
69;Palmer;Matthew;w;6;12;Alt
70;Newman;Cameron;w;9;15;Sopran
71;Ray;George;m;13;18;Bass
72;Alvarez;Tara;w;6;12;Sopran
73;Jones;Michael;w;8;14;Sopran
74;Smith;Matthew;w;8;13;Sopran
75;Caldwell;Margaret;w;8;14;Sopran
76;Davis;William;w;12;18;Sopran
77;Hoover;Marcus;w;7;13;Sopran
78;Hall;Nathan;w;11;16;Sopran
79;James;Gary;w;10;15;Alt
80;Jordan;Karla;m;11;16;Bass
81;Graham;Gregory;m;5;10;Tenor
82;Adams;Mark;m;5;11;Bass
83;Good;Jeffery;w;9;14;Sopran
84;Mckinney;Linda;m;12;17;Bass
85;Henry;Alicia;m;5;10;Tenor
86;Jackson;Regina;w;11;17;Sopran
87;Hawkins;Elizabeth;w;7;13;Sopran
88;Barnes;Tyler;m;7;12;Bass
89;Gardner;Melissa;m;10;15;Tenor
90;Hess;Renee;w;11;16;Sopran
91;Lara;Jeffrey;m;11;16;Bass
92;Colon;Tammy;m;7;12;Bass
93;Fuller;Edwin;m;8;13;Tenor
94;Rosales;Erik;w;11;16;Sopran
95;Harris;Janice;m;6;12;Tenor
96;Miller;William;w;6;12;Sopran
97;Davis;Denise;w;7;12;Sopran
98;Duarte;Guy;w;6;12;Sopran
99;Rodriguez;Keith;w;9;14;Alt
100;Smith;Lisa;m;9;15;Tenor
